Actual Price,Predicted Price
4060000,5203691.71
6650000,7257004.021
3710000,3062828.597
6440000,4559591.654
2800000,3332932.306
4900000,3563080.679
5250000,5645466.312
4543000,6413979.669
2450000,2755831.548
3353000,2668938.661
10150000,9570600.299
2660000,2827431.509
3360000,3195686.258
3360000,3352263.994
2275000,3713879.5
2660000,5301088.244
2660000,2987920.267
7350000,4810799.821
2940000,4383031.705
2870000,3525092.189
6720000,5796259.501
5425000,5840000.703
1890000,2760214.609
5250000,4762590.149
4193000,5204755.739
12250000,7515542.716
3080000,3254681.69
5110000,5236164.46
9800000,8178523.168
2520000,3434166.157
6790000,6443921.588
3500000,3346004.779
6650000,6742324.74
2940000,4154936.841
3325000,3589152.475
4200000,5788125.925
4900000,4768370.182
3290000,4391684.042
3500000,3217657.045
2380000,4638196.619
5495000,4522160.278
3675000,3541284.061
6650000,7238136.119
4907000,4021515.689
3150000,3701978.768
4480000,4298879.556
6580000,6705004.021
5740000,3993466.523
3003000,3798185.053
1820000,3451821.562
8400000,7293996.869
2450000,2832905.27
4270000,4378698.148
4007500,4468002.854
3234000,3714623.898
1750000,2718466.903
9800000,7524449.65
2100000,2950437.15
4340000,4194596.286
3045000,2795827.773
3850000,4801788.726
3500000,3618230.299
4753000,5091685.77
3080000,4248122.706
4550000,4729964.203
6510000,4620982.936
6685000,7215846.77
5110000,3485106.191
4550000,5933820.143
6650000,6236580.981
3640000,4809923.61
5600000,5130920.229
3780000,4527282.874
6615000,8006869.072
3220000,3543927.637
6650000,5463086.053
4690000,3902441.285
4830000,4661063.635
6860000,4825370.893
2233000,4276803.471
7035000,7754072.713
4165000,4008573.232
6195000,6500977.913
6510000,5386796.009
1890000,2785343.009
8190000,6836356.368
2660000,2638553.494
4193000,3634231.992
13300000,8004072.412
9681000,8048399.754
4340000,3227573.697
8645000,5935167.42
3703000,3605772.483
5145000,3817767.914
6440000,7631673.341
5950000,4775106.627
5810000,5093491.444
5740000,6447437.148
6230000,4943449.681
5600000,5943929.143
3010000,3810460.264
8890000,6457426.323
4900000,3701491.232
5530000,5960492.473
9100000,4933137.145
3773000,4377133.136
7910000,7009335.027
7350000,6351460.971
5530000,6409340.411
